FECHA_HORA,Temperatura,Precipitaciones,Nubosidad
1/1/2019 00:00,26,,
1/1/2019 01:00,25.33333333,,
1/1/2019 02:00,24.66666667,,
1/1/2019 03:00,24,,
1/1/2019 04:00,23.66666667,,
1/1/2019 05:00,23.33333333,,
1/1/2019 06:00,23,0.2,
1/1/2019 07:00,23.66666667,0.466666667,
1/1/2019 08:00,24.33333333,0.733333333,
1/1/2019 09:00,25,1,36
1/1/2019 10:00,26.33333333,0.8,26
1/1/2019 11:00,27.66666667,0.6,16
1/1/2019 12:00,29,0.4,6
1/1/2019 13:00,30.33333333,0.3,22
1/1/2019 14:00,31.66666667,0.2,38
1/1/2019 15:00,33,0.1,54
1/1/2019 16:00,32.66666667,0.133333333,69.33333333
1/1/2019 17:00,32.33333333,0.166666667,84.66666667
1/1/2019 18:00,32,,100
1/1/2019 19:00,31.33333333,,97.66666667
1/1/2019 20:00,30.66666667,,95.33333333
1/1/2019 21:00,30,,93
1/1/2019 22:00,29.66666667,,82
1/1/2019 23:00,29.33333333,,71
2/1/2019 00:00,29,,60
2/1/2019 01:00,28.33333333,,50.33333333
2/1/2019 02:00,27.66666667,,40.66666667
2/1/2019 03:00,27,0.5,31
2/1/2019 04:00,27,0.4,53
2/1/2019 05:00,27,0.3,75
2/1/2019 06:00,27,0.2,97
2/1/2019 07:00,28,0.166666667,82.66666667
2/1/2019 08:00,29,0.133333333,68.33333333
2/1/2019 09:00,30,0.1,54
2/1/2019 10:00,31.33333333,0.277777778,65.66666667
2/1/2019 11:00,32.66666667,0.455555556,77.33333333
2/1/2019 12:00,34,,89
2/1/2019 13:00,34,,92
2/1/2019 14:00,34,,95
2/1/2019 15:00,34,,98
2/1/2019 16:00,33.33333333,,98.66666667
2/1/2019 17:00,32.66666667,,99.33333333
2/1/2019 18:00,32,1.7,100
2/1/2019 19:00,31,1.366666667,100
2/1/2019 20:00,30,1.033333333,100
2/1/2019 21:00,29,0.7,100
2/1/2019 22:00,28,0.5,100
2/1/2019 23:00,27,0.3,100
3/1/2019 00:00,26,0.1,100
3/1/2019 01:00,25,0.103225806,100
3/1/2019 02:00,24,0.106451613,100
3/1/2019 03:00,23,,100
3/1/2019 04:00,22,,100
3/1/2019 05:00,21,,100
3/1/2019 06:00,20,,100
3/1/2019 07:00,20.33333333,,100
3/1/2019 08:00,20.66666667,,100
3/1/2019 09:00,21,,100
